id	type	domain	enabled	date_added	date_modified	comment
2	0	cdn.content.prod.cms.msn.com	1	1590233585	1594553347	
3	0	sputniknews.com	1	1590233595	1594553347	
4	0	rt.com	1	1590233605	1594553347	
7	0	reminders-pa.googleapis.com	1	1590233630	1594553347	
8	0	firestore.googleapis.com	1	1590233638	1594553347	
9	0	s.youtube.com	1	1590233645	1594553347	
10	0	video-stats.l.google.com	1	1590233652	1594553347	
11	0	www.msftncsi.com	1	1590233658	1594553347	
12	0	googleapis.l.google.com	1	1590233666	1594553347	
13	0	outlook.office365.com	1	1590233963	1594553347	
14	0	products.office.com	1	1590233964	1594553347	
15	0	c.s-microsoft.com	1	1590233964	1594553347	
16	0	i.s-microsoft.com	1	1590233964	1594553347	
17	0	login.live.com	1	1590233964	1594553347	
18	0	login.microsoftonline.com	1	1590233964	1594553347	
19	0	spclient.wg.spotify.com	1	1590233964	1594553347	
20	0	apresolve.spotify.com	1	1590233964	1594553347	
21	0	dl.dropboxusercontent.com	1	1590233965	1594553347	
22	0	ns1.dropbox.com	1	1590233965	1594553347	
23	0	ns2.dropbox.com	1	1590233965	1594553347	
24	0	dl.google.com	1	1590233965	1594553347	
25	0	appleid.apple.com	1	1590233965	1594553347	
26	0	android.clients.google.com	1	1590233965	1594553347	
27	0	settings-win.data.microsoft.com	1	1590233965	1594553347	
28	0	wbd.ms	1	1590233966	1594553347	
29	0	int.whiteboard.microsoft.com	1	1590233966	1594553347	
30	0	whiteboard.microsoft.com	1	1590233966	1594553347	
31	0	whiteboard.ms	1	1590233966	1594553347	
32	0	officeclient.microsoft.com	1	1590233966	1594553347	
33	0	upload.facebook.com	1	1590233966	1596718739	FB
34	0	creative.ak.fbcdn.net	1	1590233966	1596718744	FB
35	0	external-lhr0-1.xx.fbcdn.net	1	1590233967	1596718752	FB
36	0	external-lhr1-1.xx.fbcdn.net	1	1590233967	1596718756	FB
37	0	external-lhr10-1.xx.fbcdn.net	1	1590233967	1596718760	FB
38	0	external-lhr2-1.xx.fbcdn.net	1	1590233967	1596718763	FB
39	0	external-lhr3-1.xx.fbcdn.net	1	1590233967	1596718767	FB
40	0	external-lhr4-1.xx.fbcdn.net	1	1590233967	1596718771	FB
41	0	external-lhr5-1.xx.fbcdn.net	1	1590233967	1596718775	FB
42	0	external-lhr6-1.xx.fbcdn.net	1	1590233968	1596718894	FB
43	0	external-lhr7-1.xx.fbcdn.net	1	1590233968	1596718866	FB
44	0	external-lhr8-1.xx.fbcdn.net	1	1590233968	1596718861	FB
45	0	external-lhr9-1.xx.fbcdn.net	1	1590233968	1596718857	FB
46	0	fbcdn-creative-a.akamaihd.net	1	1590233968	1596718795	FB
47	0	scontent-lhr3-1.xx.fbcdn.net	1	1590233969	1596718791	FB
48	0	scontent.xx.fbcdn.net	1	1590233969	1596718799	FB
49	0	scontent.fgdl5-1.fna.fbcdn.net	1	1590233969	1596718804	FB
51	0	b-graph.facebook.com	1	1590233969	1596718809	FB
52	0	connect.facebook.com	1	1590233969	1596718814	FB
53	0	cdn.fbsbx.com	1	1590233970	1596718817	FB
54	0	api.facebook.com	1	1590233970	1596718821	FB
55	0	edge-mqtt.facebook.com	1	1590233970	1596718824	FB
56	0	mqtt.c10r.facebook.com	1	1590233970	1596718828	FB
57	0	portal.fb.com	1	1590233970	1596718838	FB
58	0	star.c10r.facebook.com	1	1590233970	1596718833	FB
59	0	star-mini.c10r.facebook.com	1	1590233971	1596718843	FB
60	0	b-api.facebook.com	1	1590233971	1596718847	FB
61	0	fb.me	1	1590233971	1596718853	FB
62	0	oneclient.sfx.ms	1	1590233971	1594553348	
63	0	g.live.com	1	1590233971	1594553348	
64	0	vk.com	1	1590233972	1594553348	
65	0	bdsmlr.com	1	1590233972	1594553348	
66	0	dc.services.visualstudio.com	1	1590233972	1594553348	
67	0	fonts.googleapis.com	1	1590233972	1594553348	
68	0	nexusrules.officeapps.live.com	1	1590233972	1594553348	
69	0	nexus.officeapps.live.com	1	1590233973	1594553348	
71	0	mainlyusedforwalking.tumblr.com	1	1590233973	1594553348	
72	0	tumblr.com	1	1590233973	1594553348	
73	0	manyvids.com	1	1590233973	1594553348	
74	0	lnkd.in	1	1590233973	1594553348	
75	0	raspberrypi.org	1	1590233974	1594553348	
76	0	ow.ly	1	1590233974	1594553348	
77	0	torrentz2.eu	1	1590233974	1596718721	TORRENTZ
78	0	thepiratebay.org	1	1590233974	1594553348	
79	0	eztv.ag	1	1590233974	1594553348	
80	0	safelinks.protection.outlook.com	1	1590233975	1594553348	
81	0	outlook.com	1	1590233975	1594553348	
82	0	t.co	1	1590233975	1594553348	
